Format Version,1.22,Take Name,Take 2023-07-13 11.16.48 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 07:01:01 +0200,Total Frames in Take,1355,Total Exported Frames,1355,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,"11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.014035,-0.068871,0.006818,-0.997504,1.685111,0.609287,0.598706
1,0.008333,0.014003,-0.068839,0.006812,-0.997506,1.685113,0.609290,0.598710
2,0.016667,0.014005,-0.068857,0.006807,-0.997505,1.685117,0.609289,0.598709
3,0.025000,0.013945,-0.068826,0.006808,-0.997508,1.685119,0.609291,0.598710
4,0.033333,0.013981,-0.068816,0.006822,-0.997508,1.685115,0.609290,0.598709
5,0.041667,0.014005,-0.068815,0.006844,-0.997508,1.685105,0.609286,0.598706
6,0.050000,,,,,,,
7,0.058333,,,,,,,
8,0.066667,0.013953,-0.068857,0.006901,-0.997505,1.685107,0.609275,0.598703
9,0.075000,0.013937,-0.068864,0.006884,-0.997505,1.685103,0.609278,0.598704
10,0.083333,0.014269,-0.068998,0.006605,-0.997493,1.685161,0.609320,0.598721
11,0.091667,0.014207,-0.068962,0.006690,-0.997496,1.685140,0.609311,0.598714
12,0.100000,0.014087,-0.068920,0.006758,-0.997500,1.685129,0.609304,0.598709
13,0.108333,0.014060,-0.068897,0.006775,-0.997502,1.685116,0.609298,0.598710
14,0.116667,0.014070,-0.068889,0.006784,-0.997502,1.685116,0.609292,0.598708
15,0.125000,0.014052,-0.068892,0.006816,-0.997502,1.685108,0.609293,0.598706
16,0.133333,0.013983,-0.068881,0.006840,-0.997503,1.685112,0.609291,0.598711
17,0.141667,0.014017,-0.068892,0.006877,-0.997502,1.685103,0.609286,0.598711
18,0.150000,0.013960,-0.068925,0.006888,-0.997500,1.685100,0.609290,0.598712
19,0.158333,0.013943,-0.068895,0.006868,-0.997503,1.685097,0.609287,0.598709
20,0.166667,0.013879,-0.068860,0.006849,-0.997506,1.685102,0.609286,0.598707
21,0.175000,0.013886,-0.068847,0.006843,-0.997507,1.685103,0.609290,0.598707
22,0.183333,0.013909,-0.068882,0.006835,-0.997504,1.685102,0.609291,0.598705
23,0.191667,0.014261,-0.069017,0.006542,-0.997492,1.685160,0.609330,0.598725
24,0.200000,0.014175,-0.068970,0.006597,-0.997496,1.685142,0.609314,0.598717
25,0.208333,0.014028,-0.068938,0.006669,-0.997500,1.685132,0.609309,0.598710
26,0.216667,0.013991,-0.068919,0.006701,-0.997502,1.685124,0.609302,0.598709
27,0.225000,0.013965,-0.068908,0.006806,-0.997502,1.685116,0.609300,0.598708
28,0.233333,0.013892,-0.068867,0.006775,-0.997506,1.685116,0.609304,0.598709
29,0.241667,0.013897,-0.068849,0.006780,-0.997507,1.685114,0.609297,0.598707
30,0.250000,0.013964,-0.068868,0.006834,-0.997505,1.685106,0.609294,0.598708
31,0.258333,0.013952,-0.068869,0.006846,-0.997505,1.685107,0.609295,0.598708
32,0.266667,0.013955,-0.068864,0.006843,-0.997505,1.685102,0.609290,0.598708
33,0.275000,0.013918,-0.068853,0.006852,-0.997506,1.685102,0.609288,0.598705
34,0.283333,0.013951,-0.068862,0.006856,-0.997505,1.685104,0.609286,0.598705
