Format Version,1.22,Take Name,Take 2023-08-14 03.50.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 18:31:34 +0200,Total Frames in Take,401,Total Exported Frames,401,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.092987,0.064999,0.039051,0.992776,2.290529,1.067373,2.802480
1,0.008333,-0.093453,0.065704,0.038772,0.992697,2.290647,1.067251,2.802992
2,0.016667,-0.093896,0.066412,0.038482,0.992619,2.290747,1.067121,2.803473
3,0.025000,-0.094077,0.067177,0.038107,0.992565,2.290831,1.066999,2.803928
4,0.033333,-0.094186,0.067887,0.037659,0.992523,2.290912,1.066878,2.804369
5,0.041667,-0.094178,0.068600,0.037168,0.992493,2.290989,1.066769,2.804789
6,0.050000,-0.094306,0.069285,0.036654,0.992453,2.291059,1.066667,2.805198
7,0.058333,-0.094308,0.070006,0.036144,0.992421,2.291119,1.066595,2.805576
8,0.066667,-0.093964,0.070795,0.035585,0.992418,2.291160,1.066563,2.805920
9,0.075000,-0.093586,0.071608,0.035126,0.992411,2.291189,1.066558,2.806243
10,0.083333,-0.093202,0.072474,0.034789,0.992397,2.291205,1.066574,2.806547
11,0.091667,-0.093078,0.073352,0.034728,0.992346,2.291219,1.066597,2.806837
12,0.100000,-0.092985,0.074218,0.034797,0.992288,2.291231,1.066630,2.807105
13,0.108333,-0.092728,0.075041,0.034891,0.992247,2.291250,1.066678,2.807351
