Format Version,1.22,Take Name,Take 2023-07-13 11.16.48 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 07:01:01 +0200,Total Frames in Take,1355,Total Exported Frames,1355,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
",,""11280D71FD611EE8A984076B0403C8E"",""11280D71FD611EE8A984076B0403C8E"",""11280D71FD611EE8A984076B0403C8E"",""11280D71FD611EE8A984076B0403C8E"",""11280D71FD611EE8A984076B0403C8E"",""11280D71FD611EE8A984076B0403C8E"",""11280D71FD611EE8A984076B0403C8E"""
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0,0.011083,,0.007403,-0.999896,,0.587922,1.34385
1,0.008333,0.011035,-0.005389,0.007311,-0.999898,1.639335,0.587915,1.343836
2,0.016667,0.01105,-0.005448,0.007371,-0.999897,1.639334,0.58792,1.343846
3,0.025,0.011085,-0.005499,0.00742,-0.999896,1.63933,0.587921,1.343854
4,0.033333,0.011045,-0.005416,0.007323,-0.999898,1.639336,0.587913,1.343836
5,0.041667,0.011045,-0.005416,0.007323,-0.999898,1.639336,0.587913,1.343836
6,0.05,0.010976,-0.005266,0.00715,-0.9999,1.639343,0.5879,1.343809
7,0.058333,0.011201,-0.005271,0.007142,-0.999898,1.639343,0.587897,1.343819
8,0.066667,0.011152,-0.005378,0.007252,-0.999897,1.639334,0.58791,1.343834
9,0.075,0.010723,-0.00527,0.007452,-0.999901,1.639341,0.58787,1.343843
10,0.083333,0.010805,-0.00528,0.007351,-0.999901,1.639345,0.587879,1.34383
11,0.091667,0.010516,-0.005208,0.007539,-0.999903,1.639352,0.587851,1.343841
12,0.1,0.01065,-0.005208,0.007385,-0.999902,1.639353,0.587869,1.343832
13,0.108333,0.010802,-0.005333,0.0074,-0.9999,1.639344,0.587891,1.343844
14,0.116667,0.010835,-0.005323,0.007288,-0.999901,1.639343,0.587898,1.343833
15,0.125,0.010862,-0.005294,0.007218,-0.999901,1.639343,0.5879,1.343825
16,0.133333,0.010886,-0.005288,0.007201,-0.999901,1.639346,0.5879,1.343818
17,0.141667,0.010903,-0.005293,0.007164,-0.999901,1.639349,0.587899,1.343814
18,0.15,0.010918,-0.005262,0.007142,-0.999901,1.639351,0.587903,1.34381
19,0.158333,0.010914,-0.005266,0.007143,-0.999901,1.639349,0.587906,1.343811
20,0.166667,0.010927,-0.005246,0.007137,-0.999901,1.639347,0.587906,1.34381
21,0.175,0.010911,-0.005265,0.007122,-0.999901,1.639346,0.587904,1.343809
22,0.183333,0.0109,-0.005277,0.007106,-0.999901,1.639346,0.587907,1.343809
23,0.191667,0.010902,-0.005279,0.007108,-0.999901,1.639349,0.587905,1.343807
24,0.2,0.010904,-0.005275,0.007111,-0.999901,1.639351,0.587906,1.34381
25,0.208333,0.010925,-0.00528,0.007104,-0.999901,1.639349,0.587904,1.34381
26,0.216667,0.010934,-0.005263,0.007125,-0.999901,1.63935,0.587903,1.343809
27,0.225,0.0109,-0.00525,0.00712,-0.999902,1.63935,0.587903,1.343809
28,0.233333,0.010903,-0.005246,0.007127,-0.999901,1.639349,0.587904,1.34381
29,0.241667,0.010579,-0.0052,0.007368,-0.999903,1.639353,0.587866,1.343829
30,0.25,0.010709,-0.005219,0.007316,-0.999902,1.63935,0.587879,1.343825
31,0.258333,0.010775,-0.005252,0.007256,-0.999902,1.63935,0.587885,1.343818
32,0.266667,0.010839,-0.005259,0.007201,-0.999902,1.63935,0.58789,1.343814
33,0.275,0.010906,-0.00526,0.007192,-0.999901,1.639348,0.587894,1.343813
