Format Version,1.22,Take Name,Take 2023-08-14 03.16.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 17:57:55 +0200,Total Frames in Take,301,Total Exported Frames,301,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.097688,0.093057,0.008304,0.990822,2.089333,1.087073,2.912774
1,0.008333,-0.097801,0.093169,0.008487,0.990799,2.089381,1.086971,2.912918
2,0.016667,-0.098015,0.093333,0.008700,0.990761,2.089424,1.086860,2.913059
3,0.025000,-0.098386,0.093568,0.008992,0.990699,2.089459,1.086735,2.913215
4,0.033333,-0.098598,0.093824,0.009249,0.990651,2.089497,1.086613,2.913343
5,0.041667,-0.098796,0.094099,0.009537,0.990603,2.089533,1.086489,2.913473
6,0.050000,-0.098984,0.094376,0.009912,0.990554,2.089568,1.086369,2.913610
7,0.058333,-0.099061,0.094855,0.010388,0.990496,2.089587,1.086263,2.913727
8,0.066667,-0.099162,0.095038,0.010773,0.990464,2.089638,1.086157,2.913888
9,0.075000,-0.099149,0.095625,0.011187,0.990404,2.089653,1.086058,2.914010
10,0.083333,-0.099197,0.095674,0.011445,0.990392,2.089732,1.085958,2.914194
11,0.091667,-0.099142,0.095926,0.011703,0.990370,2.089805,1.085870,2.914347
12,0.100000,-0.099179,0.096201,0.011741,0.990339,2.089885,1.085790,2.914512
13,0.108333,-0.099258,0.096366,0.011757,0.990315,2.089976,1.085704,2.914676
