Format Version,1.22,Take Name,Take 2023-07-13 02.27.47 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time
,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0,0.119546,-0.044147,0.025145,-0.991528,2.377309,1.12695,2.562132
1,0.008333,0.118788,-0.042628,0.026254,-0.991657,2.377936,1.127228,2.562394
2,0.016667,0.117939,-0.040921,0.027337,-0.991801,2.378572,1.127496,2.562676
3,0.025,0.117273,-0.039135,0.028489,-0.991919,2.379201,1.127779,2.562964
4,0.033333,0.116624,-0.037432,0.029723,-0.992025,2.379806,1.128093,2.563254
5,0.041667,0.115588,-0.0357,0.030665,-0.992182,2.380412,1.128432,2.563532
6,0.05,0.114615,-0.034168,0.031327,-0.992328,2.38098,1.128761,2.56382
7,0.058333,0.113701,-0.032816,0.031605,-0.99247,2.381509,1.129091,2.564124
8,0.066667,0.113243,-0.031685,0.031921,-0.992549,2.381989,1.129399,2.564454
9,0.075,0.112528,-0.030746,0.031787,-0.992664,2.382425,1.129701,2.564813
10,0.083333,0.111709,-0.029846,0.031494,-0.992793,2.382841,1.130004,2.56518
11,0.091667,0.11073,-0.028898,0.031132,-0.992942,2.383237,1.13032,2.565528
12,0.1,0.10946,-0.028081,0.030463,-0.993127,2.383593,1.130593,2.565918
13,0.108333,0.107974,-0.026502,0.030573,-0.99333,2.383943,1.130863,2.566267
14,0.116667,0.106698,-0.025098,0.030804,-0.993497,2.38428,1.131108,2.56662
15,0.125,0.105811,-0.023941,0.030828,-0.99362,2.384608,1.131357,2.566956
16,0.133333,0.105246,-0.022873,0.030868,-0.993704,2.384899,1.131608,2.567258
17,0.141667,0.105067,-0.022294,0.030477,-0.993748,2.385212,1.131871,2.567518
18,0.15,0.104451,-0.021804,0.029904,-0.993841,2.385498,1.132104,2.567764
19,0.158333,0.1037,-0.021413,0.02941,-0.993943,2.38575,1.132282,2.568021
20,0.166667,0.102925,-0.020841,0.029511,-0.994033,2.385929,1.132391,2.568292
21,0.175,0.102343,-0.020392,0.029532,-0.994102,2.386077,1.132506,2.568549
22,0.183333,0.101735,-0.020106,0.029642,-0.994167,2.386209,1.132602,2.568799
23,0.191667,0.101335,-0.019839,0.029734,-0.99421,2.386299,1.132698,2.569058
24,0.2,0.100752,-0.019588,0.029556,-0.99428,2.386369,1.132791,2.56933
25,0.208333,0.099882,-0.01943,0.02902,-0.994386,2.386404,1.132889,2.569599
26,0.216667,0.099171,-0.019341,0.028477,-0.994475,2.386409,1.132964,2.569878
27,0.225,0.098386,-0.019323,0.027604,-0.994578,2.386381,1.133053,2.570153
28,0.233333,0.09752,-0.019346,0.026541,-0.994692,2.386335,1.133129,2.570411
29,0.241667,0.096501,-0.019661,0.025355,-0.994816,2.386246,1.133212,2.570663
30,0.25,0.095793,-0.0199,0.024339,-0.994905,2.386176,1.13333,2.570885
31,0.258333,0.095122,-0.020168,0.023323,-0.994988,2.386111,1.133433,2.571069
32,0.266667,0.094479,-0.02059,0.022757,-0.995054,2.386024,1.133553,2.571248
33,0.275,0.094014,-0.021042,0.02232,-0.995098,2.385923,1.133652,2.571411
34,0.283333,0.093625,-0.021147,0.022679,-0.995125,2.385839,1.133786,2.571527
35,0.291667,0.093462,-0.021195,0.023418,-0.995122,2.385752,1.133913,2.571655
36,0.3,0.093088,-0.02123,0.024126,-0.995139,2.385675,1.13405,2.571772
37,0.308333,0.092522,-0.021243,0.024845,-0.995174,2.38559,1.134184,2.571896
38,0.316667,0.091828,-0.021279,0.025453,-0.995222,2.385499,1.134331,2.572034
39,0.325,0.091524,-0.021699,0.02551,-0.99524,2.385413,1.134542,2.572182
40,0.333333,0.090612,-0.022065,0.02512,-0.995325,2.38531,1.134767,2.572334
41,0.341667,0.089666,-0.022381,0.024747,-0.995413,2.385189,1.134974,2.57249
42,0.35,0.088613,-0.022723,0.024174,-0.995513,2.38506,1.135167,2.572647
43,0.358333,0.087607,-0.023024,0.023549,-0.995611,2.384926,1.135356,2.572793
44,0.366667,0.086495,-0.023319,0.02285,-0.995717,2.384763,1.135518,2.572934
45,0.375,0.085695,-0.023384,0.022322,-0.995797,2.384626,1.13568,2.573035
46,0.383333,0.085049,-0.023567,0.022049,-0.995854,2.384518,1.13585,2.573138
47,0.391667,0.084519,-0.023484,0.022107,-0.9959,2.384452,1.136006,2.573213
48,0.4,0.084028,-0.023467,0.022448,-0.995934,2.384403,1.136166,2.573292
49,0.408333,0.083677,-0.02341,0.02278,-0.995957,2.384377,1.136313,2.573364
50,0.416667,0.083333,-0.023307,0.022954,-0.995985,2.38436,1.136479,2.573421
51,0.425,0.082929,-0.023181,0.023018,-0.99602,2.384353,1.136639,2.573475
52,0.433333,0.082572,-0.02291,0.023126,-0.996053,2.384354,1.136805,2.5735
53,0.441667,0.08212,-0.02274,0.022936,-0.996099,2.384362,1.136948,2.573523
54,0.45,0.081862,-0.022681,0.02288,-0.996123,2.384364,1.137055,2.573534
55,0.458333,0.081826,-0.022556,0.022909,-0.996128,2.384363,1.137168,2.573542
56,0.466667,0.081872,-0.022343,0.022865,-0.99613,2.384389,1.137309,2.573578
57,0.475,0.081787,-0.022183,0.022959,-0.996139,2.384449,1.137451,2.573589
58,0.483333,0.081564,-0.021945,0.023356,-0.996153,2.384541,1.137613,2.573575
59,0.491667,0.081273,-0.021554,0.023963,-0.996171,2.384659,1.137781,2.573563
60,0.5,0.080927,-0.02117,0.024902,-0.996184,2.384817,1.137947,2.573533
61,0.508333,0.080029,-0.02068,0.025822,-0.996244,2.385018,1.138118,2.573499
62,0.516667,0.078923,-0.019913,0.027222,-0.99631,2.385215,1.138258,2.573491
63,0.525,0.078216,-0.019127,0.028659,-0.996341,2.385424,1.138396,2.573467
64,0.533333,0.077645,-0.018384,0.030103,-0.996357,2.385639,1.138551,2.573434
65,0.541667,0.077067,-0.017575,0.031506,-0.996373,2.385862,1.138723,2.573389
66,0.55,0.076424,-0.017013,0.032917,-0.996387,2.386067,1.138896,2.573355
67,0.558333,0.075787,-0.016503,0.034163,-0.996402,2.386266,1.139073,2.573322
68,0.566667,0.075293,-0.015968,0.035128,-0.996415,2.386467,1.139267,2.573293
69,0.575,0.074771,-0.015452,0.03604,-0.996429,2.386665,1.139457,2.573255
70,0.583333,0.074176,-0.014863,0.036941,-0.99645,2.386878,1.139646,2.573195
71,0.591667,0.07367,-0.014377,0.037794,-0.996463,2.387082,1.139822,2.573132
72,0.6,0.073179,-0.013998,0.038518,-0.996476,2.387272,1.139983,2.573075
73,0.608333,0.072918,-0.013591,0.039218,-0.996474,2.38746,1.140125,2.573005
74,0.616667,0.072925,-0.013024,0.040155,-0.996444,2.387653,1.140267,2.572891
75,0.625,0.073061,-0.012479,0.041057,-0.996404,2.387839,1.140395,2.572758
76,0.633333,0.073431,-0.011932,0.042066,-0.996341,2.388004,1.140495,2.572634
77,0.641667,0.074046,-0.011725,0.04288,-0.996264,2.388191,1.140597,2.572478
78,0.65,0.074052,-0.011161,0.043648,-0.996236,2.388338,1.140672,2.572343
79,0.658333,0.074462,-0.010793,0.044328,-0.99618,2.388487,1.140746,2.572206
80,0.666667,0.074854,-0.010489,0.045024,-0.996122,2.388622,1.140797,2.572073
81,0.675,0.075174,-0.010121,0.04572,-0.99607,2.388728,1.140825,2.57196
82,0.683333,0.075302,-0.0097,0.046461,-0.996031,2.388807,1.140838,2.571862
83,0.691667,0.0755,-0.009345,0.047027,-0.995993,2.388857,1.14082,2.57179
84,0.7,0.075538,-0.009004,0.047519,-0.995969,2.388883,1.140788,2.571732
85,0.708333,0.075831,-0.00868,0.048103,-0.995922,2.388876,1.140721,2.571712
86,0.716667,0.075939,-0.008515,0.048226,-0.995909,2.388859,1.140637,2.571692
87,0.725,0.076208,-0.008322,0.048472,-0.995878,2.388816,1.14053,2.571701
